Rank,Zip Code,Population
1,90011,"109,511"
2,90650,"103,427"
3,91331,"102,553"
4,94565,"100,700"
5,90044,"100,225"
6,92336,"98,896"
7,92335,"97,358"
8,90805,"96,840"
9,90250,"96,730"
10,90201,"96,605"
11,90280,"93,207"
12,91342,"92,764"
13,92683,"91,267"
14,92503,"90,256"
15,91911,"88,589"
16,93722,"88,116"
17,92345,"87,994"
18,93307,"87,133"
19,92376,"86,826"
20,92804,"86,503"
21,95076,"85,739"
22,92154,"85,024"
23,94112,"84,477"
24,93033,"84,188"
25,95823,"83,021"
26,93550,"82,580"
27,91710,"82,192"
28,92592,"82,090"
29,91744,"81,156"
30,92509,"80,036"
31,95035,"79,769"
32,94533,"79,665"
33,92704,"79,641"
34,93727,"79,596"
35,93535,"79,522"
36,90706,"79,070"
37,93257,"78,754"
38,93274,"78,369"
39,91709,"78,333"
40,91335,"78,205"
41,92126,"78,097"
42,94544,"77,692"
43,92563,"76,795"
44,91910,"76,291"
45,90003,"75,190"
46,92880,"74,933"
47,93306,"74,518"
48,95630,"73,815"
49,92805,"73,736"
50,91706,"73,652"
51,92553,"73,632"
52,93536,"73,417"
53,92105,"73,085"
54,93065,"72,991"
55,94536,"72,744"
56,90255,"72,488"
57,95747,"72,208"
58,94509,"71,669"
59,91766,"71,380"
60,95123,"71,118"
61,92021,"71,006"
62,94110,"70,859"
63,94587,"70,828"
64,92882,"70,257"
65,95687,"69,825"
66,94568,"69,818"
67,91730,"69,787"
68,90631,"69,601"
69,94541,"69,294"
70,90037,"68,885"
71,92407,"68,662"
72,95624,"68,434"
73,91402,"68,076"
74,95020,"67,851"
75,92114,"67,745"
76,93230,"67,486"
77,90262,"67,210"
78,94080,"66,652"
79,92630,"66,621"
80,94538,"66,474"
81,94558,"66,345"
82,93906,"66,223"
83,94513,"66,087"
84,95206,"65,966"
85,90026,"65,921"
86,91977,"65,722"
87,92801,"65,662"
88,95758,"65,416"
89,90022,"65,110"
90,94806,"65,072"
91,94015,"64,754"
92,92677,"64,608"
93,91343,"64,519"
94,92703,"64,387"
95,92404,"64,146"
96,92562,"63,968"
97,93905,"63,949"
98,95608,"63,730"
99,94501,"63,588"
100,92201,"63,325"
101,95127,"63,103"
102,90640,"62,941"
103,93309,"62,804"
104,90731,"62,647"
105,92627,"62,575"
106,90660,"62,383"
107,95014,"62,185"
108,95828,"61,730"
109,91762,"61,690"
110,91702,"61,684"
111,92115,"61,450"
112,93291,"61,418"
113,93313,"61,245"
114,90019,"61,061"
115,92392,"61,014"
116,95111,"60,687"
117,92647,"60,592"
118,95051,"60,582"
119,92707,"60,478"
120,92620,"60,344"
121,91761,"60,342"
122,92223,"60,328"
123,92020,"60,222"
124,94122,"60,144"
125,92346,"60,133"
126,92071,"59,826"
127,93458,"59,814"
128,94087,"59,771"
129,92507,"59,767"
130,91732,"59,749"
131 TIE,91770,"59,685"
131 TIE,95670,"59,685"
133,92570,"59,667"
134,90042,"59,658"
135,90004,"59,621"
136,95355,"59,597"
137,92530,"58,927"
138,92571,"58,773"
139,95112,"58,489"
140,92057,"58,444"
141,94591,"58,373"
142,91950,"58,349"
143,90745,"58,327"
144,90001,"58,245"
145,92504,"58,173"
146,93030,"58,019"
147,92324,"57,931"
148,93312,"57,625"
149,92130,"57,197"
150,92708,"57,139"
151,90006,"57,136"
152,90744,"57,030"
153,92027,"56,878"
154,90813,"56,420"
155,91764,"56,317"
156,93063,"56,198"
157,93436,"56,165"
158,94109,"56,114"
159,92646,"55,939"
160,95023,"55,905"
161,91405,"55,751"
162,93215,"55,487"
163,91786,"55,405"
164,95376,"55,314"
165,92117,"55,195"
166,95350,"55,097"
167,92399,"55,016"
168,93117,"54,915"
169,90066,"54,913"
170,93308,"54,857"
171,91745,"54,853"
172,92780,"54,840"
173,92584,"54,837"
174,93551,"54,808"
175,93277,"54,649"
176,91344,"54,465"
177,91406,"54,404"
178,90002,"54,384"
179,92618,"54,368"
180,91304,"54,264"
181,92557,"54,225"
182,95122,"54,100"
183,95648,"54,074"
184,92056,"54,045"
185,91801,"53,976"
186,90723,"53,938"
187,94539,"53,762"
188,92129,"53,742"
189,91913,"53,725"
190,92840,"53,681"
191,93003,"53,549"
192,95125,"53,478"
193,90034,"53,321"
194,92078,"53,247"
195,92833,"53,188"
196,92656,"53,169"
197,92870,"53,126"
198,90063,"52,954"
199,94601,"52,950"
200,92505,"52,807"
201,95616,"52,779"
202,91605,"52,661"
203,95124,"52,442"
204,92544,"52,364"
205,95037,"52,321"
206,95116,"52,245"
207,95207,"52,154"
208,95757,"52,105"
209,92026,"51,953"
210,92234,"51,836"
211,93638,"51,669"
212,90047,"51,494"
213,90220,"51,480"
214,92113,"51,461"
215,90018,"51,388"
216,92127,"50,852"
217,92024,"50,840"
218,92025,"50,831"
219,92886,"50,764"
220,92028,"50,661"
221,90221,"50,660"
222,90024,"50,611"
223,91767,"50,563"
224,90630,"50,543"
225,92626,"50,389"
226,92128,"50,161"
227,94550,"50,119"
228,90703,"49,989"
229,92243,"49,880"
230,92084,"49,759"
231,93304,"49,647"
232,95240,"49,623"
233,92111,"49,351"
234,91306,"49,260"
235,94553,"49,230"
236,95351,"49,149"
237,94577,"49,123"
238,92701,"49,008"
239,92064,"49,005"
240,95136,"48,867"
241,95008,"48,786"
242,90046,"48,749"
243,93311,"48,722"
244,90247,"48,646"
245,94303,"48,487"
246,94086,"48,482"
247,92691,"48,437"
248,92843,"48,413"
249,93619,"48,320"
250,95843,"48,191"
251,93720,"48,148"
252,92879,"48,033"
253,93010,"47,930"
254,92705,"47,851"
255,94560,"47,815"
256,94014,"47,708"
257,95307,"47,666"
258,90057,"47,604"
259,95060,"47,594"
260,90033,"47,495"
261,92395,"47,416"
262,94582,"47,319"
263,95148,"47,305"
264,95336,"47,294"
265,92058,"47,286"
266,90620,"47,104"
267,93611,"47,099"
268,92009,"46,622"
269,92410,"46,615"
270,93635,"46,606"
271,93036,"46,594"
272,95403,"46,463"
273,90065,"46,432"
274 TIE,92069,"46,375"
274 TIE,95822,"46,375"
276,90638,"46,335"
277,91765,"46,270"
278,92692,"46,240"
279,94546,"46,169"
280,93446,"46,048"
281,94928,"45,910"
282,91352,"45,900"
283,90016,"45,884"
284,95610,"45,792"
285,92104,"45,773"
286,90023,"45,732"
287 TIE,92555,"45,694"
287 TIE,92019,"45,694"
289,92122,"45,676"
290,94566,"45,648"
291,92648,"45,612"
292,95380,"45,576"
293,94116,"45,510"
294,91790,"45,497"
295,92040,"45,371"
296,95762,"45,340"
297,94605,"45,334"
298,92109,"45,333"
299,93726,"45,330"
300,90032,"45,298"
301,91387,"45,295"
302,91748,"45,205"
303,95678,"45,201"
304,95209,"45,150"
305,93702,"45,095"
306,92374,"45,066"
307,91367,"44,931"
308,90503,"44,744"
309,90241,"44,701"
310,90027,"44,678"
311,90025,"44,608"
312,96003,"44,522"
313,92688,"44,386"
314,91320,"44,356"
315,90043,"44,272"
316,94403,"44,244"
317,92867,"44,232"
318,93455,"44,091"
319,94561,"44,088"
320,91733,"43,978"
321,94121,"43,964"
322,92506,"43,900"
323,94066,"43,846"
324,95831,"43,683"
325,94010,"43,644"
326,93534,"43,535"
327,93292,"43,508"
328,90501,"43,450"
329,92545,"43,440"
330,95926,"43,402"
331,91606,"43,381"
332,94804,"43,346"
333,93552,"43,118"
334,92101,"43,096"
335,90815,"43,092"
336,92308,"43,079"
337,94531,"43,067"
338,95991,"43,028"
339,95210,"43,009"
340,90242,"43,002"
341,91360,"42,984"
342,92802,"42,911"
343,90278,"42,841"
344,95621,"42,838"
345,95337,"42,713"
346,90605,"42,600"
347,95628,"42,434"
348,90275,"42,417"
349,94521,"42,388"
350,94578,"42,370"
351,94901,"42,307"
352,91350,"42,252"
353,92236,"42,218"
354,94134,"41,977"
355,91789,"41,829"
356,94025,"41,826"
357,95765,"41,799"
358,95407,"41,575"
359,90806,"41,571"
360,91016,"41,507"
361,93706,"41,470"
362,94118,"41,456"
363,95838,"41,438"
364,91739,"41,427"
365,90045,"41,411"
366,95132,"41,337"
367,93454,"41,324"
368,90059,"41,315"
369,92821,"41,286"
370,90007,"41,270"
371,91311,"41,188"
372,95835,"41,051"
373,95301,"41,015"
374,93637,"40,996"
375,92591,"40,889"
376,91942,"40,863"
377,95833,"40,853"
378,95826,"40,847"
379,94117,"40,701"
380,92307,"40,604"
381,94551,"40,552"
382,95695,"40,479"
383,94611,"40,292"
384,92102,"40,083"
385,92806,"40,009"
386,95688,"39,967"
387,90604,"39,926"
388 TIE,90808,"39,723"
388 TIE,95205,"39,723"
390,90012,"39,709"
391,92394,"39,540"
392,95691,"39,361"
393 TIE,94534,"39,318"
393 TIE,95129,"39,318"
395,94583,"39,284"
396,95050,"39,269"
397,92240,"39,173"
398,93711,"39,085"
399,90802,"39,036"
400,91701,"39,019"
401,91401,"38,974"
402,92231,"38,879"
403,92083,"38,875"
404,92672,"38,872"
405,92543,"38,769"
406,94044,"38,609"
407,94606,"38,595"
408,95928,"38,594"
409,90031,"38,533"
410,94555,"38,522"
411,90301,"38,500"
412,95973,"38,490"
413,95120,"38,358"
414,94954,"38,354"
415,94061,"38,255"
416,90020,"38,124"
417,91776,"38,112"
418,92337,"38,079"
419,93021,"38,030"
420,95404,"38,028"
421,94590,"38,012"
422,95993,"37,993"
423,90804,"37,953"
424,93305,"37,904"
425,91763,"37,821"
426,92253,"37,814"
427,93705,"37,763"
428,95121,"37,663"
429,91104,"37,619"
430,90036,"37,596"
431,95340,"37,584"
432,92301,"37,571"
433,92054,"37,567"
434,90505,"37,533"
435,95825,"37,522"
436,92037,"37,505"
437,95821,"37,473"
438,90810,"37,451"
439,93245,"37,360"
440,95382,"37,296"
441,90005,"36,910"
442,91001,"36,867"
443,92831,"36,859"
444,91711,"36,841"
445,92065,"36,838"
446,93612,"36,833"
447,95401,"36,820"
448,91768,"36,706"
449,92706,"36,694"
450,91362,"36,587"
451,95476,"36,578"
452,94404,"36,571"
453,95126,"36,457"
454,90277,"36,409"
455,90621,"36,385"
456,91205,"36,367"
457,95062,"36,278"
458,95820,"36,224"
459,92508,"36,191"
460,95901,"36,176"
461,92869,"36,174"
462,92649,"36,130"
463,92807,"36,110"
464,94520,"36,107"
465,92660,"36,100"
466,91326,"36,079"
467,92131,"36,070"
468,94603,"35,996"
469,94124,"35,982"
470,91340,"35,918"
471,93657,"35,854"
472,90049,"35,853"
473,94040,"35,800"
474,93012,"35,794"
475,92883,"35,788"
476,91722,"35,714"
477,95660,"35,649"
478,91752,"35,641"
479,90266,"35,585"
480,94588,"35,532"
481,91780,"35,494"
482,92551,"35,421"
483,94621,"35,379"
484,95128,"35,367"
485,92139,"35,364"
486,91325,"35,355"
487,95667,"35,343"
488,92675,"35,319"
489,92596,"35,294"
490,91321,"35,231"
491,94063,"35,163"
492,94401,"35,095"
493,90029,"35,037"
494,94523,"34,957"
495,92694,"34,879"
496,91601,"34,786"
497,95361,"34,725"
498,96002,"34,693"
499,92841,"34,650"
500,92612,"34,640"
501,91915,"34,616"
502,92595,"34,611"
503,93060,"34,583"
504,95842,"34,578"
505,95348,"34,489"
506,94114,"34,474"
507,94952,"34,457"
508,91791,"34,411"
509,91773,"34,407"
510,90062,"34,277"
511,96001,"34,253"
512,92311,"34,204"
513,94115,"34,193"
514,92583,"34,103"
515,95341,"34,045"
516,91754,"33,931"
517,92103,"33,873"
518,91941,"33,858"
519,94102,"33,856"
520,90260,"33,794"
521,94608,"33,755"
522,95482,"33,744"
523,90222,"33,729"
524,91007,"33,689"
525,95377,"33,630"
526,90230,"33,620"
527,93710,"33,507"
528,94545,"33,496"
529,94526,"33,473"
530,91354,"33,461"
531,91750,"33,406"
532,93422,"33,195"
533,94801,"33,178"
534,91107,"33,148"
535,93314,"33,134"
536,91351,"33,131"
537,95834,"33,102"
538,95662,"33,099"
539,93555,"33,060"
540,95356,"33,055"
541,94043,"33,052"
542,92123,"33,035"
543,90504,"33,022"
544,90807,"32,994"
545,93955,"32,979"
546,91505,"32,884"
547,95661,"32,880"
548,92203,"32,829"
549,94941,"32,711"
550,95118,"32,703"
551,91604,"32,680"
552,90803,"32,631"
553,90606,"32,583"
554,91206,"32,570"
555,92220,"32,523"
556,91006,"32,499"
557,94103,"32,430"
558,92373,"32,340"
559,93703,"32,329"
560,93940,"32,273"
561,95070,"32,189"
562,94610,"32,144"
563,93618,"32,044"
564,91214,"32,009"
565,95358,"31,938"
566,91423,"31,901"
567,93420,"31,864"
568,93004,"31,705"
569,90712,"31,701"
570,91792,"31,649"
571,92124,"31,593"
572,93001,"31,588"
573,95131,"31,566"
574,95632,"31,509"
575,94070,"31,477"
576,92116,"31,470"
577 TIE,96080,"31,469"
577 TIE,91355,"31,469"
579,94602,"31,451"
580,93101,"31,439"
581,92679,"31,406"
582,95961,"31,402"
583,92260,"31,286"
584,93561,"31,281"
585,95134,"31,172"
586,94903,"31,150"
587,92881,"31,061"
588,90008,"31,046"
589,94589,"31,033"
590,92673,"30,972"
591,90601,"30,955"
592,92405,"30,930"
593,91607,"30,921"
594,95824,"30,783"
595,95829,"30,594"
596,90680,"30,500"
597,92110,"30,318"
598,94580,"30,262"
599,95219,"30,242"
600,92653,"30,183"
601,95204,"30,135"
602 TIE,92782,"30,123"
602 TIE,93662,"30,123"
604,90061,"29,992"
605,92604,"29,983"
606,91356,"29,968"
607,91303,"29,965"
608,92081,"29,944"
609,90028,"29,887"
610,95682,"29,836"
611 TIE,92107,"29,753"
611 TIE,95472,"29,753"
613,96150,"29,727"
614,94132,"29,707"
615,93654,"29,697"
616,92173,"29,634"
617,94585,"29,560"
618,91746,"29,525"
619,94131,"29,437"
620,95363,"29,364"
621,91324,"29,328"
622,91724,"29,309"
623,92614,"29,307"
624,93901,"29,295"
625,90302,"29,278"
626,91803,"29,223"
627,95966,"29,203"
628,93704,"29,184"
629,92120,"29,172"
630,90713,"29,113"
631,90041,"28,956"
632,95133,"28,902"
633,90039,"28,839"
634,95117,"28,832"
635,91384,"28,693"
636,93401,"28,654"
637,95492,"28,635"
638,94107,"28,607"
639,92316,"28,593"
640,95212,"28,561"
641,94549,"28,545"
642,95603,"28,479"
643,90017,"28,433"
644,95677,"28,412"
645,94306,"28,394"
646,93280,"28,337"
647,95330,"28,325"
648,91364,"28,264"
649,91731,"28,244"
650 TIE,94518,"28,201"
650 TIE,94002,"28,201"
652,91316,"28,182"
653,90746,"28,067"
654,90710,"27,998"
655,90038,"27,995"
656,94559,"27,913"
657,95370,"27,896"
658,92008,"27,742"
659,91945,"27,685"
660,91504,"27,592"
661,92227,"27,530"
662,95242,"27,448"
663,92602,"27,425"
664,91740,"27,379"
665,94506,"27,375"
666,90405,"27,367"
667,94510,"27,327"
668,92868,"27,233"
669,91755,"27,197"
670 TIE,94402,"27,188"
670 TIE,95945,"27,188"
672,95032,"27,149"
673,94803,"27,133"
674,94607,"27,022"
675,91010,"27,008"
676,92629,"26,929"
677,92835,"26,917"
678,91103,"26,909"
679,95215,"26,898"
680,92411,"26,895"
681,94062,"26,847"
682,92532,"26,840"
683,91030,"26,837"
684,92251,"26,740"
685,91042,"26,686"
686,92277,"26,666"
687,93725,"26,620"
688,90240,"26,590"
689,94619,"26,514"
690,95618,"26,478"
691,94530,"26,461"
692,91741,"26,460"
693,94598,"26,441"
694,90035,"26,411"
695,93105,"26,382"
696,91932,"26,375"
697,93960,"26,357"
698,91784,"26,330"
699,93933,"26,301"
700,91302,"26,241"
701,93035,"26,224"
702,95815,"26,211"
703,92860,"26,204"
704,95409,"26,179"
705,92211,"26,106"
706,90304,"26,103"
707,94133,"26,090"
708,91403,"26,061"
709,94547,"26,050"
710,94123,"26,002"
711,90249,"25,929"
712,90602,"25,907"
713,92262,"25,888"
714,92284,"25,832"
715,91307,"25,773"
716,91301,"25,737"
717,92832,"25,720"
718,90291,"25,685"
719,94947,"25,468"
720,90270,"25,415"
721,95864,"25,367"
722,95003,"25,244"
723,92585,"25,238"
724,95776,"25,230"
725,95354,"25,165"
726,90064,"25,161"
727,92606,"25,126"
728,94704,"25,124"
729,93405,"25,081"
730,95367,"25,037"
731,90274,"24,890"
732,90740,"24,721"
733,93907,"24,667"
734,96007,"24,666"
735,94609,"24,623"
736,90403,"24,525"
737,92011,"24,518"
738,92119,"24,465"
739,95054,"24,404"
740,90015,"24,228"
741,94024,"24,203"
742,91775,"24,079"
743,92651,"24,042"
744,95501,"24,007"
745,90292,"23,951"
746,91411,"23,902"
747,95503,"23,878"
748,94085,"23,805"
749,91737,"23,790"
750,94597,"23,725"
751,90720,"23,660"
752,91106,"23,589"
753,93610,"23,575"
754,94089,"23,492"
755,90404,"23,460"
756,90303,"23,415"
757,95391,"23,235"
758,93041,"23,210"
759,95405,"23,176"
760,93212,"23,148"
761,94030,"23,083"
762,94596,"23,046"
763,92354,"22,977"
764,95531,"22,887"
765,91201,"22,807"
766,91202,"22,757"
767,93263,"22,642"
768,92844,"22,601"
769,95818,"22,423"
770,95746,"22,345"
771,95521,"22,259"
772,93444,"22,032"
773,95135,"22,010"
774,92108,"21,995"
775,96130,"21,904"
776,95965,"21,891"
777,94503,"21,874"
778,90717,"21,727"
779,93023,"21,691"
780,92501,"21,610"
781,90732,"21,582"
782,92663,"21,523"
783,92808,"21,496"
784,95620,"21,494"
785,92865,"21,384"
786,91040,"21,289"
787,90272,"21,282"
788,92225,"21,272"
789,95827,"21,241"
790,95949,"21,240"
791,90603,"21,236"
792,93560,"21,195"
793,90715,"21,174"
794,90068,"21,127"
795,92371,"21,123"
796,94579,"21,034"
797,94706,"20,962"
798,94127,"20,927"
799,95841,"20,892"
800,92106,"20,889"
801,92344,"20,768"
802,93630,"20,736"
803,93203,"20,674"
804,91011,"20,621"
805,92582,"20,580"
806,90048,"20,504"
807,94519,"20,495"
808,91602,"20,465"
809,92887,"20,395"
810,95110,"20,377"
811,92082,"20,300"
812,92377,"20,201"
813,91381,"20,193"
814,90069,"20,185"
815,95819,"20,146"
816,94022,"20,069"
817,92586,"20,022"
818,92264,"19,965"
819,94703,"19,857"
820,95138,"19,827"
821,90254,"19,787"
822,91390,"19,772"
823,92118,"19,672"
824,93927,"19,665"
825,90210,"19,627"
826,91101,"19,542"
827,91501,"19,493"
828,92029,"19,466"
829 TIE,94563,"19,454"
829 TIE,91361,"19,454"
831,91506,"19,449"
832,93103,"19,282"
833,90814,"19,166"
834,92603,"19,128"
835,94564,"19,065"
836,96161,"19,058"
837,93015,"18,810"
838,91345,"18,752"
839,91204,"18,738"
840,93210,"18,733"
841,95602,"18,705"
842,95519,"18,467"
843,95366,"18,462"
844,92587,"18,432"
845,91723,"18,398"
846,91901,"18,367"
847,93111,"18,327"
848,95959,"18,280"
849,94949,"18,273"
850,93268,"18,113"
851,90502,"18,110"
852,95816,"18,033"
853,92617,"17,960"
854,93728,"17,779"
855,91902,"17,759"
856,91914,"17,742"
857,92637,"17,546"
858,94945,"17,482"
859,94595,"17,455"
860,90670,"17,446"
861,95673,"17,332"
862,94618,"17,324"
863,95334,"17,253"
864 TIE,90245,"17,243"
864 TIE,94301,"17,243"
866,93247,"17,182"
867,92270,"17,129"
868,91436,"16,970"
869,93930,"16,945"
870,94612,"16,884"
871,90265,"16,868"
872,95963,"16,812"
873,95422,"16,759"
874,93631,"16,738"
875,94542,"16,705"
876,95448,"16,596"
877 TIE,94702,"16,557"
877 TIE,91203,"16,557"
879,93241,"16,543"
880,93013,"16,515"
881,94305,"16,469"
882,90701,"16,390"
883,93110,"16,345"
884,95203,"16,255"
885,92010,"15,976"
886,95437,"15,903"
887,94960,"15,871"
888,94505,"15,796"
889,90623,"15,703"
890,93402,"15,692"
891,94556,"15,672"
892,96021,"15,660"
893,95304,"15,585"
894,93648,"15,507"
895,94019,"15,452"
896,90232,"15,342"
897,93250,"15,318"
898,91208,"15,316"
899,95066,"15,265"
900,90305,"15,254"
901,92845,"15,240"
902,93950,"15,169"
903,94552,"15,131"
904,95540,"14,989"
905,92866,"14,966"
906,93514,"14,949"
907,93505,"14,914"
908,94041,"14,862"
909,96022,"14,793"
910,94805,"14,783"
911,94502,"14,732"
912,95368,"14,674"
913,95252,"14,644"
914,95650,"14,479"
915,95605,"14,328"
916,95490,"14,256"
917,91708,"14,179"
918,94705,"14,150"
919,95817,"14,109"
920,90716,"14,050"
921,93301,"14,004"
922,95742,"13,955"
923,94507,"13,906"
924,93640,"13,884"
925,93204,"13,881"
926,93221,"13,865"
927,94105,"13,810"
928,93543,"13,793"
929,95357,"13,740"
930,91377,"13,561"
931,95360,"13,551"
932,95030,"13,528"
